couple_location,round_id,mark,round_name,lead_name,follow_name,judge,result,value,heat_name,comp_name,dance_id,comp_id,heat_id,couple,judge_name,dance_name,final_result
QC,0,1,Final,Christopher Panasuk,Anne-Marie Baillargeon,10,1,1, Pro  Championship Smooth  (WTFV),Sample,0,cds09,20018730,299,Hubert De Maesschalck,Waltz,1
QC,0,2,Final,Christopher Panasuk,Anne-Marie Baillargeon,11,1,2, Pro  Championship Smooth  (WTFV),Sample,0,cds09,20018730,299,Ann Harding-Trafford,Waltz,1
QC,0,2,Final,Christopher Panasuk,Anne-Marie Baillargeon,19,1,2, Pro  Championship Smooth  (WTFV),Sample,0,cds09,20018730,299,Glenn Weiss,Waltz,1
QC,0,1,Final,Christopher Panasuk,Anne-Marie Baillargeon,21,1,1, Pro  Championship Smooth  (WTFV),Sample,0,cds09,20018730,299,Pierre Allaire,Waltz,1
QC,0,1,Final,Christopher Panasuk,Anne-Marie Baillargeon,24,1,1, Pro  Championship Smooth  (WTFV),Sample,0,cds09,20018730,299,Benoit Drolet,Waltz,1
QC,0,1,Final,Christopher Panasuk,Anne-Marie Baillargeon,25,1,1, Pro  Championship Smooth  (WTFV),Sample,0,cds09,20018730,299,Jean-Marc Genereux,Waltz,1
QC,0,1,Final,Christopher Panasuk,Anne-Marie Baillargeon,27,1,1, Pro  Championship Smooth  (WTFV),Sample,0,cds09,20018730,299,Spencer Nyemchek,Waltz,1
ON,0,2,Final,Egor Shalvarov,Alla Prosatilova,10,2,2, Pro  Championship Smooth  (WTFV),Sample,0,cds09,20018730,264,Hubert De Maesschalck,Waltz,2
ON,0,1,Final,Egor Shalvarov,Alla Prosatilova,11,2,1, Pro  Championship Smooth  (WTFV),Sample,0,cds09,20018730,264,Ann Harding-Trafford,Waltz,2
ON,0,1,Final,Egor Shalvarov,Alla Prosatilova,19,2,1, Pro  Championship Smooth  (WTFV),Sample,0,cds09,20018730,264,Glenn Weiss,Waltz,2
ON,0,2,Final,Egor Shalvarov,Alla Prosatilova,21,2,2, Pro  Championship Smooth  (WTFV),Sample,0,cds09,20018730,264,Pierre Allaire,Waltz,2
ON,0,2,Final,Egor Shalvarov,Alla Prosatilova,24,2,2, Pro  Championship Smooth  (WTFV),Sample,0,cds09,20018730,264,Benoit Drolet,Waltz,2
ON,0,2,Final,Egor Shalvarov,Alla Prosatilova,25,2,2, Pro  Championship Smooth  (WTFV),Sample,0,cds09,20018730,264,Jean-Marc Genereux,Waltz,2
